Period,MSA,zone,Age,pop,moe
2000,Dallas,0,55-64,19589,NA
2000,Dallas,0,65-74,10141,NA
2000,Dallas,0,75-84,4964,NA
2000,Dallas,1,55-64,21781,NA
2000,Dallas,1,65-74,14892,NA
2000,Dallas,1,75-84,6866,NA
2000,Houston,0,55-64,26488,NA
2000,Houston,0,65-74,13908,NA
2000,Houston,0,75-84,7035,NA
2000,Houston,1,55-64,23591,NA
2000,Houston,1,65-74,18567,NA
2000,Houston,1,75-84,9100,NA
2010,Dallas,0,55-64,91498,5388.986732215993
2010,Dallas,0,65-74,34858,5846.5572775779765
2010,Dallas,0,75-84,9710,5723.23195406232
2010,Dallas,1,55-64,57588,1501.2541423756338
2010,Dallas,1,65-74,34204,1144.4343581001053
2010,Dallas,1,75-84,10338,840.7556125295864
2010,Houston,0,55-64,129270,4726.066652090298
2010,Houston,0,65-74,49976,5067.432683321999
2010,Houston,0,75-84,13878,4943.182780355183
2010,Houston,1,55-64,49316,1469.4148495234422
2010,Houston,1,65-74,33498,1150.6971799739495
2010,Houston,1,75-84,11984,733.7370101064822
2015,Dallas,0,55-64,137468,2767.772750787174
2015,Dallas,0,65-74,53992,1750.6575907355498
2015,Dallas,0,75-84,11614,992.5049118266368
2015,Dallas,1,55-64,67318,1655.5742206255811
2015,Dallas,1,65-74,40652,1158.4670905986065
2015,Dallas,1,75-84,13146,657.8875283815615
2015,Houston,0,55-64,181512,3321.1263149720758
2015,Houston,0,65-74,76012,2123.5418526603144
2015,Houston,0,75-84,18128,1198.1360523746876
2015,Houston,1,55-64,53372,1505.6732713308024
2015,Houston,1,65-74,34254,984.9710655648723
2015,Houston,1,75-84,12534,617.4431147887228
2019,Dallas,0,55-64,179812,3419.0598122875826
2019,Dallas,0,65-74,80214,2223.150467242377
2019,Dallas,0,75-84,14356,1157.7970461181874
2019,Dallas,1,55-64,69422,1887.475032947456
2019,Dallas,1,65-74,46168,1340.1746154885936
2019,Dallas,1,75-84,15316,830.8886808712705
2019,Houston,0,55-64,207848,3976.480353277255
2019,Houston,0,65-74,108408,2673.5601732521377
2019,Houston,0,75-84,24094,1467.2061886456177
2019,Houston,1,55-64,55374,1661.8796586997507
2019,Houston,1,65-74,38358,1277.6423599740265
2019,Houston,1,75-84,13272,680.8670942261787
